"filename", "language", "HTML", "JSON", "JavaScript", "SCSS", "vue", "YAML", "comment", "blank", "total"
"d:\一些完整的项目\树洞小程序\Tree_web\App.vue", "vue", 0, 0, 0, 0, 16, 0, 0, 2, 18
"d:\一些完整的项目\树洞小程序\Tree_web\component\BottomNavbar\BottomNavbar.vue", "vue", 0, 0, 0, 0, 101, 0, 0, 8, 109
"d:\一些完整的项目\树洞小程序\Tree_web\index.html", "HTML", 18, 0, 0, 0, 0, 0, 2, 1, 21
"d:\一些完整的项目\树洞小程序\Tree_web\main.js", "JavaScript", 0, 0, 16, 0, 0, 0, 4, 2, 22
"d:\一些完整的项目\树洞小程序\Tree_web\manifest.json", "JSON", 0, 66, 0, 0, 0, 0, 8, 1, 75
"d:\一些完整的项目\树洞小程序\Tree_web\package.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\一些完整的项目\树洞小程序\Tree_web\pages.json", "JSON", 0, 105, 0, 0, 0, 0, 14, 0, 119
"d:\一些完整的项目\树洞小程序\Tree_web\pages\community\community.vue", "vue", 0, 0, 0, 0, 237, 0, 3, 20, 260
"d:\一些完整的项目\树洞小程序\Tree_web\pages\gender\gender.vue", "vue", 0, 0, 0, 0, 147, 0, 0, 22, 169
"d:\一些完整的项目\树洞小程序\Tree_web\pages\home\home.vue", "vue", 0, 0, 0, 0, 260, 0, 10, 48, 318
"d:\一些完整的项目\树洞小程序\Tree_web\pages\info\grade.vue", "vue", 0, 0, 0, 0, 137, 0, 0, 9, 146
"d:\一些完整的项目\树洞小程序\Tree_web\pages\info\institute.vue", "vue", 0, 0, 0, 0, 137, 0, 0, 9, 146
"d:\一些完整的项目\树洞小程序\Tree_web\pages\info\major.vue", "vue", 0, 0, 0, 0, 137, 0, 0, 9, 146
"d:\一些完整的项目\树洞小程序\Tree_web\pages\info\school.vue", "vue", 0, 0, 0, 0, 139, 0, 0, 9, 148
"d:\一些完整的项目\树洞小程序\Tree_web\pages\loading\loading.vue", "vue", 0, 0, 0, 0, 33, 0, 0, 2, 35
"d:\一些完整的项目\树洞小程序\Tree_web\pages\login\login.vue", "vue", 0, 0, 0, 0, 220, 0, 4, 28, 252
"d:\一些完整的项目\树洞小程序\Tree_web\pages\name\name.vue", "vue", 0, 0, 0, 0, 100, 0, 0, 2, 102
"d:\一些完整的项目\树洞小程序\Tree_web\pages\nickname\nickname.vue", "vue", 0, 0, 0, 0, 88, 0, 0, 2, 90
"d:\一些完整的项目\树洞小程序\Tree_web\pages\personInformation\personInformation.vue", "vue", 0, 0, 0, 0, 129, 0, 2, 5, 136
"d:\一些完整的项目\树洞小程序\Tree_web\pages\personal\personal.vue", "vue", 0, 0, 0, 0, 197, 0, 3, 9, 209
"d:\一些完整的项目\树洞小程序\Tree_web\pages\test\test.vue", "vue", 0, 0, 0, 0, 281, 0, 3, 27, 311
"d:\一些完整的项目\树洞小程序\Tree_web\pages\welcome\welcome.vue", "vue", 0, 0, 0, 0, 88, 0, 0, 11, 99
"d:\一些完整的项目\树洞小程序\Tree_web\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 158, 0, 54, 212
"d:\一些完整的项目\树洞小程序\Tree_web\uni.promisify.adaptor.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 13
"d:\一些完整的项目\树洞小程序\Tree_web\uni.scss", "SCSS", 0, 0, 0, 37, 0, 0, 25, 15, 77
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\cache\.vite\deps\_metadata.json", "JSON", 0, 15, 0, 0, 0, 0, 0, 0, 15
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\cache\.vite\deps\lucide-vue-next.js", "JavaScript", 0, 0, 20617, 0, 0, 0, 14539, 1617, 36773
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\cache\.vite\deps\package.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\BottomNavbar.js", "JavaScript", 0, 0, 36, 0, 0, 0, 1, 1, 38
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\app.js", "JavaScript", 0, 0, 40, 0, 0, 0, 1, 1, 42
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\app.json", "JSON", 0, 27, 0, 0, 0, 0, 0, 0, 27
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\common\assets.js", "JavaScript", 0, 0, 9, 0, 0, 0, 1, 1, 11
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\common\vendor.js", "JavaScript", 0, 0, 7724, 0, 0, 0, 117, 1, 7842
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\component\BottomNavbar\BottomNavbar.js", "JavaScript", 0, 0, 3, 0, 0, 0, 1, 1, 5
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\component\BottomNavbar\BottomNavbar.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\component\BottomNavbar\BottomNavbar2.js", "JavaScript", 0, 0, 3, 0, 0, 0, 1, 1, 5
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\community\community.js", "JavaScript", 0, 0, 92, 0, 0, 0, 1, 1, 94
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\community\community.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\gender\gender.js", "JavaScript", 0, 0, 36, 0, 0, 0, 1, 1, 38
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\gender\gender.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\home\home.js", "JavaScript", 0, 0, 25, 0, 0, 0, 1, 1, 27
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\home\home.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\info\grade.js", "JavaScript", 0, 0, 30, 0, 0, 0, 1, 1, 32
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\info\grade.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\info\institute.js", "JavaScript", 0, 0, 30, 0, 0, 0, 1, 1, 32
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\info\institute.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\info\major.js", "JavaScript", 0, 0, 30, 0, 0, 0, 1, 1, 32
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\info\major.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\info\school.js", "JavaScript", 0, 0, 30, 0, 0, 0, 1, 1, 32
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\info\school.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\loading\loading.js", "JavaScript", 0, 0, 10, 0, 0, 0, 1, 1, 12
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\loading\loading.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\login\login.js", "JavaScript", 0, 0, 56, 0, 0, 0, 1, 1, 58
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\login\login.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\name\name.js", "JavaScript", 0, 0, 30, 0, 0, 0, 1, 1, 32
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\name\name.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\nickname\nickname.js", "JavaScript", 0, 0, 22, 0, 0, 0, 1, 1, 24
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\nickname\nickname.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\personInformation\personInformation.js", "JavaScript", 0, 0, 53, 0, 0, 0, 1, 1, 55
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\personInformation\personInformation.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\personal\personal.js", "JavaScript", 0, 0, 24, 0, 0, 0, 1, 1, 26
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\personal\personal.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\test\test.js", "JavaScript", 0, 0, 114, 0, 0, 0, 4, 1, 119
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\test\test.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\welcome\welcome.js", "JavaScript", 0, 0, 23, 0, 0, 0, 1, 1, 25
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\welcome\welcome.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\project.config.json", "JSON", 0, 36, 0, 0, 0, 0, 0, 0, 36
"Total", "-", 18, 329, 29066, 37, 2447, 158, 14757, 1935, 48747
