"filename", "language", "JSON", "vue", "JavaScript", "comment", "blank", "total"
"d:\一些完整的项目\树洞小程序\Tree_web\api\assessment.js", "JavaScript", 0, 0, 20, 3, 3, 26
"d:\一些完整的项目\树洞小程序\Tree_web\api\community.js", "JavaScript", 0, 0, 87, 0, 19, 106
"d:\一些完整的项目\树洞小程序\Tree_web\api\config.js", "JavaScript", 0, 0, 5, 0, 0, 5
"d:\一些完整的项目\树洞小程序\Tree_web\api\focus.js", "JavaScript", 0, 0, 7, 0, 3, 10
"d:\一些完整的项目\树洞小程序\Tree_web\api\recruit.js", "JavaScript", 0, 0, 22, 0, 8, 30
"d:\一些完整的项目\树洞小程序\Tree_web\api\request.js", "JavaScript", 0, 0, 61, 16, 8, 85
"d:\一些完整的项目\树洞小程序\Tree_web\api\task.js", "JavaScript", 0, 0, 16, 0, 6, 22
"d:\一些完整的项目\树洞小程序\Tree_web\api\user.js", "JavaScript", 0, 0, 76, 10, 12, 98
"d:\一些完整的项目\树洞小程序\Tree_web\component\BottomNavbar\BottomNavbar.vue", "vue", 0, 0, 0, 0, -1, -1
"d:\一些完整的项目\树洞小程序\Tree_web\pages.json", "JSON", 60, 0, 0, -14, 0, 46
"d:\一些完整的项目\树洞小程序\Tree_web\pages\gender\gender.vue", "vue", 0, -147, 0, 0, -22, -169
"d:\一些完整的项目\树洞小程序\Tree_web\pages\home\home.vue", "vue", 0, 1, 0, 0, 0, 1
"d:\一些完整的项目\树洞小程序\Tree_web\pages\info\gender.vue", "vue", 0, 179, 0, 0, 24, 203
"d:\一些完整的项目\树洞小程序\Tree_web\pages\info\grade.vue", "vue", 0, 14, 0, 0, 5, 19
"d:\一些完整的项目\树洞小程序\Tree_web\pages\info\institute.vue", "vue", 0, 14, 0, 0, 5, 19
"d:\一些完整的项目\树洞小程序\Tree_web\pages\info\major.vue", "vue", 0, 14, 0, 0, 5, 19
"d:\一些完整的项目\树洞小程序\Tree_web\pages\info\name.vue", "vue", 0, 124, 0, 0, 15, 139
"d:\一些完整的项目\树洞小程序\Tree_web\pages\info\nickname.vue", "vue", 0, 124, 0, 0, 15, 139
"d:\一些完整的项目\树洞小程序\Tree_web\pages\info\school.vue", "vue", 0, 12, 0, 0, 5, 17
"d:\一些完整的项目\树洞小程序\Tree_web\pages\login\login.vue", "vue", 0, 60, 0, 0, 10, 70
"d:\一些完整的项目\树洞小程序\Tree_web\pages\name\name.vue", "vue", 0, -100, 0, 0, -2, -102
"d:\一些完整的项目\树洞小程序\Tree_web\pages\nickname\nickname.vue", "vue", 0, -88, 0, 0, -2, -90
"d:\一些完整的项目\树洞小程序\Tree_web\pages\personInformation\personInformation.vue", "vue", 0, -129, 0, -2, -5, -136
"d:\一些完整的项目\树洞小程序\Tree_web\pages\personal\assessmentRecord.vue", "vue", 0, 150, 0, 0, 19, 169
"d:\一些完整的项目\树洞小程序\Tree_web\pages\personal\personInformation.vue", "vue", 0, 166, 0, 2, 20, 188
"d:\一些完整的项目\树洞小程序\Tree_web\pages\personal\personal.vue", "vue", 0, 21, 0, 1, 3, 25
"d:\一些完整的项目\树洞小程序\Tree_web\pages\test\answer.vue", "vue", 0, 230, 0, 5, 3, 238
"d:\一些完整的项目\树洞小程序\Tree_web\pages\test\endTest\end.vue", "vue", 0, 264, 0, 3, 18, 285
"d:\一些完整的项目\树洞小程序\Tree_web\pages\test\quiz\quiz.vue", "vue", 0, 257, 0, 0, 26, 283
"d:\一些完整的项目\树洞小程序\Tree_web\pages\test\startTest\start_1.vue", "vue", 0, 85, 0, 3, 7, 95
"d:\一些完整的项目\树洞小程序\Tree_web\pages\test\startTest\start_2.vue", "vue", 0, 86, 0, 3, 6, 95
"d:\一些完整的项目\树洞小程序\Tree_web\pages\test\startTest\start_3.vue", "vue", 0, 86, 0, 3, 6, 95
"d:\一些完整的项目\树洞小程序\Tree_web\pages\test\test.vue", "vue", 0, 10, 0, 0, 0, 10
"d:\一些完整的项目\树洞小程序\Tree_web\pages\test\testing\testing_1.vue", "vue", 0, 228, 0, 0, 23, 251
"d:\一些完整的项目\树洞小程序\Tree_web\pages\test\testing\testing_2.vue", "vue", 0, 8, 0, 0, 6, 14
"d:\一些完整的项目\树洞小程序\Tree_web\pages\test\testing\testing_3.vue", "vue", 0, 8, 0, 0, 6, 14
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\cache\.vite\deps\_metadata.json", "JSON", -15, 0, 0, 0, 0, -15
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\cache\.vite\deps\lucide-vue-next.js", "JavaScript", 0, 0, -20617, -14539, -1617, -36773
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\cache\.vite\deps\package.json", "JSON", -3, 0, 0, 0, -1, -4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\BottomNavbar.js", "JavaScript", 0, 0, -36, -1, -1, -38
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\app.js", "JavaScript", 0, 0, -40, -1, -1, -42
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\app.json", "JSON", -27, 0, 0, 0, 0, -27
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\common\assets.js", "JavaScript", 0, 0, -9, -1, -1, -11
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\common\vendor.js", "JavaScript", 0, 0, -7724, -117, -1, -7842
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\component\BottomNavbar\BottomNavbar.js", "JavaScript", 0, 0, -3, -1, -1, -5
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\component\BottomNavbar\BottomNavbar.json", "JSON", -4, 0, 0, 0, 0, -4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\component\BottomNavbar\BottomNavbar2.js", "JavaScript", 0, 0, -3, -1, -1, -5
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\community\community.js", "JavaScript", 0, 0, -92, -1, -1, -94
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\community\community.json", "JSON", -6, 0, 0, 0, 0, -6
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\gender\gender.js", "JavaScript", 0, 0, -36, -1, -1, -38
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\gender\gender.json", "JSON", -4, 0, 0, 0, 0, -4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\home\home.js", "JavaScript", 0, 0, -25, -1, -1, -27
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\home\home.json", "JSON", -6, 0, 0, 0, 0, -6
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\info\grade.js", "JavaScript", 0, 0, -30, -1, -1, -32
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\info\grade.json", "JSON", -4, 0, 0, 0, 0, -4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\info\institute.js", "JavaScript", 0, 0, -30, -1, -1, -32
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\info\institute.json", "JSON", -4, 0, 0, 0, 0, -4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\info\major.js", "JavaScript", 0, 0, -30, -1, -1, -32
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\info\major.json", "JSON", -4, 0, 0, 0, 0, -4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\info\school.js", "JavaScript", 0, 0, -30, -1, -1, -32
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\info\school.json", "JSON", -4, 0, 0, 0, 0, -4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\loading\loading.js", "JavaScript", 0, 0, -10, -1, -1, -12
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\loading\loading.json", "JSON", -4, 0, 0, 0, 0, -4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\login\login.js", "JavaScript", 0, 0, -56, -1, -1, -58
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\login\login.json", "JSON", -4, 0, 0, 0, 0, -4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\name\name.js", "JavaScript", 0, 0, -30, -1, -1, -32
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\name\name.json", "JSON", -4, 0, 0, 0, 0, -4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\nickname\nickname.js", "JavaScript", 0, 0, -22, -1, -1, -24
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\nickname\nickname.json", "JSON", -4, 0, 0, 0, 0, -4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\personInformation\personInformation.js", "JavaScript", 0, 0, -53, -1, -1, -55
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\personInformation\personInformation.json", "JSON", -4, 0, 0, 0, 0, -4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\personal\personal.js", "JavaScript", 0, 0, -24, -1, -1, -26
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\personal\personal.json", "JSON", -6, 0, 0, 0, 0, -6
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\test\test.js", "JavaScript", 0, 0, -114, -4, -1, -119
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\test\test.json", "JSON", -6, 0, 0, 0, 0, -6
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\welcome\welcome.js", "JavaScript", 0, 0, -23, -1, -1, -25
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\pages\welcome\welcome.json", "JSON", -4, 0, 0, 0, 0, -4
"d:\一些完整的项目\树洞小程序\Tree_web\unpackage\dist\dev\mp-weixin\project.config.json", "JSON", -36, 0, 0, 0, 0, -36
"d:\一些完整的项目\树洞小程序\Tree_web\utils\randomData.js", "JavaScript", 0, 0, 3, 0, 0, 3
"d:\一些完整的项目\树洞小程序\Tree_web\utils\request.js", "JavaScript", 0, 0, 34, 6, 2, 42
"d:\一些完整的项目\树洞小程序\Tree_web\utils\timeFormat.js", "JavaScript", 0, 0, 73, 33, 15, 121
"Total", "-", -93, 1677, -28633, -14607, -1368, -43024
